OrderID,Date,Region,Product,Category,Price,Quantity,Discount,Returned,CustomerRating,Notes
1001,2024-08-25,APAC,Beta,B,184.47,8,0.26,0,4.0,bulk
1002,2024-02-06,EMEA,Beta,B,284.55,1,0.2,0,4.3,
1003,2024-02-27,EMEA,Alpha,A,163.69,2,0.3,1,4.1,
1004,2024-05-31,EMEA,Alpha,A,219.05,3,0.11,0,4.2,
1005,2024-01-23,EMEA,Gamma,A,204.49,7,0.22,0,4.2,vip
1006,2024-05-10,AMER,Gamma,A,224.81,8,0.05,0,4.3,bulk
1007,2024-07-10,EMEA,Gamma,A,273.12,1,0.16,0,4.0,promo
1008,2024-05-11,EMEA,Alpha,A,218.45,4,0.18,0,5.0,
1009,2024-03-17,AMER,Beta,B,249.7,7,0.19,1,3.6,promo
1010,2024-07-16,APAC,Delta,B,213.98,2,0.29,0,5.0,
1011,2024-07-05,APAC,Beta,B,2000.0,6,0.05,0,4.8,
1012,2024-07-28,APAC,Alpha,A,205.36,2,0.22,0,3.6,bulk
1013,2024-04-24,EMEA,Beta,B,168.17,9,0.2,0,3.9,bulk
1014,2024-08-20,APAC,Gamma,A,204.25,7,0.26,0,4.5,
1015,2024-06-30,APAC,Delta,B,238.8,1,0.32,0,3.9,bulk
1016,2024-02-14,APAC,Gamma,A,176.71,9,0.33,0,,promo
1017,2024-06-29,EMEA,Gamma,A,278.89,5,0.2,0,4.1,
1018,2024-06-23,EMEA,Alpha,A,100.62,5,0.04,0,3.5,bulk
1019,2024-04-10,EMEA,Alpha,A,225.31,1,0.06,0,4.1,
1020,2024-07-26,APAC,Delta,B,198.42,8,0.09,0,2.9,
1021,2024-01-07,,Gamma,A,177.15,5,0.24,0,4.5,vip
1022,2024-07-19,AMER,Alpha,A,177.94,6,0.32,0,3.1,
1023,2024-08-03,EMEA,Beta,B,232.65,4,0.23,0,4.5,
1024,2024-06-25,EMEA,Beta,B,207.84,9,0.06,0,4.3,
1025,2024-01-18,APAC,Gamma,A,234.39,4,0.26,0,3.8,bulk
1026,2024-03-17,EMEA,Gamma,A,267.15,5,0.03,0,4.2,promo
1027,2024-06-07,AMER,Gamma,A,116.9,6,0.12,0,5.0,
1028,2024-04-19,APAC,Alpha,A,105.04,3,0.09,0,3.8,promo
1029,2024-01-24,APAC,Gamma,A,161.61,3,0.21,0,4.9,
1030,2024-02-19,APAC,Beta,B,206.32,7,0.25,0,4.1,
1031,2024-05-06,AMER,Beta,B,193.69,5,0.2,0,4.0,
1032,2024-02-05,APAC,Alpha,A,143.24,8,0.02,0,4.7,
1033,2024-08-25,EMEA,Delta,B,178.47,7,0.34,1,3.3,
1034,2024-01-14,APAC,Gamma,A,189.09,8,0.08,0,3.9,promo
1035,2024-01-08,AMER,Gamma,A,194.22,5,0.06,0,4.3,
1036,2024-05-11,AMER,Alpha,A,168.85,2,0.28,0,5.0,
1037,2024-06-06,AMER,Alpha,A,256.84,6,0.24,0,4.5,
1038,2024-08-27,EMEA,Alpha,A,111.99,1,0.06,0,4.7,
1039,2024-02-17,APAC,Gamma,A,193.42,8,0.29,0,3.8,promo
1040,2024-01-10,EMEA,Delta,B,179.54,5,0.05,0,3.2,
1041,2024-05-16,EMEA,Gamma,A,161.58,8,0.21,0,4.5,
1042,2024-04-06,APAC,Gamma,A,144.22,1,0.32,0,4.1,
1043,2024-06-06,APAC,Alpha,A,129.3,5,0.21,0,3.6,
1044,2024-06-30,APAC,Gamma,A,194.34,8,0.07,0,3.7,
1045,2024-01-20,APAC,Alpha,A,153.66,9,0.08,0,3.7,
1046,2024-01-29,AMER,Alpha,A,151.09,8,0.13,0,3.4,
1047,2024-04-25,APAC,Gamma,A,133.83,1,0.07,1,4.9,
1048,2024-01-16,APAC,Beta,B,175.47,4,0.16,0,4.2,
1049,2024-01-09,EMEA,Beta,B,154.1,6,0.2,0,3.7,
1050,2024-01-29,APAC,Alpha,A,249.87,8,0.06,0,4.1,promo
1051,2024-01-10,APAC,Delta,B,175.71,5,0.1,0,4.2,
1052,2024-05-24,AMER,Gamma,A,168.97,3,0.15,0,4.6,
1053,2024-07-27,EMEA,Delta,B,208.54,8,0.02,0,3.8,
1054,2024-04-25,AMER,Delta,B,149.12,6,0.25,0,4.8,promo
1055,2024-01-31,AMER,Beta,B,209.87,8,0.22,1,4.5,
1056,2024-04-29,AMER,Beta,B,206.53,4,0.23,0,3.1,
1057,2024-07-04,APAC,Alpha,A,180.06,7,0.1,0,4.1,
1058,2024-01-31,APAC,Gamma,A,171.96,8,0.24,0,4.1,
1059,2024-02-29,APAC,Alpha,A,188.71,5,0.31,0,3.4,promo
1060,2024-01-17,EMEA,Gamma,A,217.47,7,0.04,0,3.1,promo
1061,2024-03-20,AMER,Delta,B,240.07,3,0.01,0,5.0,promo
1062,2024-04-12,EMEA,Gamma,A,139.49,1,0.02,0,3.5,bulk
1063,2024-03-09,EMEA,Alpha,A,194.74,4,0.28,0,2.7,promo
1064,2024-05-29,APAC,Beta,B,208.96,2,0.34,0,3.6,
1065,2024-06-17,EMEA,Beta,B,179.42,3,0.01,0,3.8,
1066,2024-03-19,APAC,Delta,B,234.53,8,0.12,0,3.8,promo
1067,2024-04-21,EMEA,Beta,B,176.44,3,0.08,0,5.0,promo
1068,2024-02-17,EMEA,Gamma,A,163.15,3,0.13,1,4.0,promo
1069,2024-03-25,APAC,Delta,B,155.23,3,0.34,0,4.6,
1070,2024-02-08,AMER,Delta,B,110.94,2,0.35,0,3.8,
1071,2024-06-03,APAC,Gamma,A,245.09,9,0.08,0,4.9,
1072,2024-07-06,EMEA,Beta,B,166.05,5,0.14,0,4.1,
1073,2024-07-05,APAC,Delta,B,246.52,2,0.13,0,5.0,promo
1074,2024-04-11,APAC,Gamma,A,230.23,9,0.06,0,3.5,
1075,2024-04-02,EMEA,Alpha,A,169.17,5,0.28,0,4.5,
1076,2024-04-09,EMEA,Gamma,A,221.52,9,0.17,0,4.4,promo
1077,2024-05-16,EMEA,Delta,B,136.11,7,0.34,0,4.2,
1078,2024-03-14,AMER,Alpha,A,131.28,3,0.1,0,3.5,
1079,2024-04-13,EMEA,Delta,B,226.0,4,0.29,0,3.2,
1080,2024-01-05,APAC,Delta,B,172.14,3,0.1,0,4.3,
1081,2024-05-14,EMEA,Alpha,A,200.99,1,0.05,0,3.5,
1082,2024-03-22,APAC,Beta,B,170.84,5,0.15,0,3.9,
1083,2024-07-31,APAC,Beta,B,218.84,4,0.14,0,4.1,promo
1084,2024-04-10,AMER,Beta,B,170.23,4,0.16,1,4.1,bulk
1085,2024-06-29,APAC,Gamma,A,221.28,7,0.29,0,3.5,
1086,2024-08-27,APAC,Gamma,A,263.78,9,0.2,0,4.5,
1087,2024-03-31,EMEA,Delta,B,222.11,9,0.2,0,3.2,promo
1088,2024-07-21,EMEA,Beta,B,222.74,9,0.08,0,4.0,
1089,2024-03-30,APAC,Gamma,A,179.93,6,0.31,0,4.5,bulk
1090,2024-08-01,EMEA,Beta,B,136.33,2,0.07,0,3.7,
1091,2024-08-14,EMEA,Alpha,A,171.46,9,0.09,0,4.1,
1092,2024-07-10,AMER,Beta,B,138.03,8,0.17,0,4.5,
1093,2024-04-23,APAC,Alpha,A,181.71,8,0.33,0,4.0,bulk
1094,2024-07-06,EMEA,Delta,B,259.01,3,0.23,0,4.0,
1095,2024-07-02,AMER,Alpha,A,251.03,9,0.13,0,5.0,
1096,2024-06-26,AMER,Delta,B,206.03,3,0.13,0,4.2,
1097,2024-07-24,AMER,Alpha,A,195.78,9,0.0,0,4.8,promo
1098,2024-05-06,APAC,Beta,B,203.7,9,0.25,0,3.1,
1099,2024-06-14,EMEA,Alpha,A,204.88,3,0.01,0,4.8,
1100,2024-03-07,APAC,Delta,B,205.39,1,0.14,0,4.3,
1101,2024-02-11,APAC,Beta,B,222.55,8,0.28,0,4.4,
1102,2024-08-20,AMER,Alpha,A,260.11,3,0.25,0,3.4,
